time,x_1,y_1,psi_1,phi_1,v_1,x_2,y_2,psi_2,phi_2,v_2
1.06,12.615121692017548,2.2604223918670865,0.2092100361747291,-0.000324835129450887,12.108506788080604,37.384884109418834,-2.2604412724871445,3.3508057613891307,-0.00027684256016528554,12.108506225048272
1.08,12.852011859353256,2.310715778550367,0.20920050590425152,-0.0005881617018287075,12.108506939751388,37.14799414835657,-2.3107355552088005,3.350796955754054,-0.0005434407456071533,12.10850615537179
1.1,13.088902732065835,2.3610058571478527,0.20918653865036538,-0.0008619905380261661,12.108507089980574,36.91110351885019,-2.3610266828561275,3.3507836382309732,-0.0008218923114055229,12.108506087374412
1.12,13.325794547337004,2.4112915099439984,0.20916785321120634,-0.0011531736378312056,12.108507238583547,36.67421197874312,-2.411313514987321,3.350765506457155,-0.0011190040755850912,12.108506024614822
1.1400000000000001,13.562687562444175,2.46157152420815,0.20914404855920707,-0.0014691059638508293,12.108507385287524,36.43731926472937,-2.461594811560195,3.3507421399797823,-0.0014420638820908716,12.108505970698337
1.16,13.799582061347532,2.51184456101508,0.20911459207478078,-0.0018179085828164518,12.108507529732464,36.20042508591677,-2.511869202430775,3.350712989621876,-0.0017990158006249695,12.108505928870319
1.18,14.036478362016686,2.5621091205284583,0.20907880462479722,-0.0022086233543313627,12.108507671478009,35.963529116710376,-2.562135153599565,3.350677363762022,-0.0021986505555653233,12.108505902074583
1.2,14.273376824663373,2.6123635029415886,0.20903584224400001,-0.0026514225244841953,12.108507810019791,35.72663098885112,-2.612390929395912,3.350634411202895,-0.002650815991658627,12.108505892885079
1.22,14.510277861060404,2.6626057641971785,0.20898467411436022,-0.003157837108963249,12.10850794481711,35.48973028243729,-2.662634549691325,3.3505831002192217,-0.0031666527693694165,12.108505902762264
1.24,14.74718194514431,2.712833665516984,0.20892405646040269,-0.0037410087944777766,12.108508075345274,35.25282651569892,-2.712863741120653,3.3505221932842884,-0.003758860918905162,12.108505932365832
1.26,14.984089625120331,2.763044615658055,0.20885250188129006,-0.004415971327503501,12.10850820118348,35.01591913330035,-2.7630758811385436,3.350450216867172,-0.004442003819386773,12.1085059812689
1.28,15.22100153731507,2.8132356046684888,0.20876824351586473,-0.005199969026689164,12.10850832216349,34.7790074928953,-2.813267933570463,3.35036542557789,-0.005232856647532807,12.108506048030094
1.3,15.45791842205556,2.8634031277342,0.2086691932791992,-0.006112822064932645,12.10850843862537,34.54209084962692,-2.8634363741130513,3.3502657598071,-0.006150807271579046,12.108506130346283
1.32,15.694841141895232,2.9135430974811807,0.20855289321771445,-0.0071773502066005985,12.108508551864011,34.30516833821737,-2.913577104002108,3.350148795863886,-0.007218318290371871,12.108506225576871
1.34,15.931770702558353,2.963650742819155,0.20841645881380313,-0.008419868127674389,12.108508664914817,34.06823895224313,-2.963685349791594,3.3500116874596824,-0.00846145960315528,12.108506331691625
1.36,16.168708277034597,3.0137204920820695,0.20825651285329158,-0.00987076541481171,12.108508783930311,33.83130152013519,-3.01375554687381,3.349851097224036,-0.009910521199373521,12.108506448925235
1.3800000000000001,16.40565523332274,3.0637458378461258,0.208069108284297,-0.011565182119256903,12.10850892054967,33.59435467738112,-3.063781204018339,3.3496631167744706,-0.011600715723952219,12.108506582529195
1.4000000000000001,16.642613166392508,3.113719180401762,0.2078496383738904,-0.01354378657038413,12.108509095857533,33.35739683434238,-3.1137547458210593,3.349443173725476,-0.013572978453069824,12.10850674709249
1.42,16.87958393500159,3.1636316464365235,0.20759273240961768,-0.01585365780000288,12.108509346743386,33.120426139033476,-3.1636673295406115,3.349185923906822,-0.015874870441559177,12.10850697326899
1.44,17.116569704065977,3.2134728790556952,0.20729213515579514,-0.0185492728101183,12.108509735670674,32.88344043415873,-3.2135086323779967,3.3488851270437943,-0.018561583844950033,12.108507317531801
1.46,17.353572993332026,3.2632307948197714,0.2069405682119651,-0.021693599323529544,12.108510365010886,32.646437207656746,-3.263266604847859,3.348533504215013,-0.021697042257611033,12.10850787635069
1.48,17.590596733132173,3.3128913030069986,0.20652957134208458,-0.02535929386804092,12.108511397168076,32.409413535989756,-3.3129271855643263,3.3481225757602204,-0.02535506897225931,12.108508806578293
1.5,17.82764432800983,3.362437981827529,0.2060493218241833,-0.029629998591726246,12.108513081650303,32.172366019482965,-3.36247397248695,3.347642478574698,-0.029620598998666,12.108510351851836
1.52,18.064719728950188,3.411851705855823,0.2054884300023184,-0.034601716707608726,12.108515789866125,31.93529070907711,-3.4118878457024535,3.347081762960308,-0.03459084677472021,12.108512880418536
1.54,18.30182751480853,3.4611102186307603,0.20483370987965932,-0.040384207810191704,12.10852005773395,31.698183024211858,-3.4611465368689536,3.346427169537719,-0.04037639082883144,12.108516927914236
1.56,18.53897298318215,3.5101876447287697,0.20406992647876543,-0.047102197701710105,12.10852663647131,31.46103766176676,-3.510224141114567,3.345663389081676,-0.047102003228704975,12.108523255072287
1.58,18.77616225028971,3.5590539374813552,0.20317952807951034,-0.05489596956179552,12.108536554659077,31.22384849672753,-3.5590905677487945,3.3447728081863577,-0.05490718190979507,12.108532906966701
1.6,19.013402358553936,3.607674260482253,0.2021423720298991,-0.0639212445101944,12.108551190956032,30.986608475809344,-3.607710927449592,3.3437352464921415,-0.06394615616767405,12.108547280972267
1.62,19.25070138972726,3.656008300792049,0.20093544385586284,-0.07434882452988156,12.108572340284509,30.749309506507206,-3.6560448540454535,3.3425276883206307,-0.07438746487248261,12.1085681741734
1.6400000000000001,19.488068579987107,3.7040095140492397,0.19953258009044858,-0.08636323115608911,12.10860226092242,30.51194234366501,-3.7040457630153067,3.3411240245495883,-0.08641220533390136,12.108597901595154
1.6600000000000001,19.72551443172936,3.7516243059847927,0.1979042134634297,-0.10015969797880457,12.108643701882638,30.27449648049343,-3.751660041877529,3.3394947804903254,-0.10021327064171744,12.108639218356894
1.68,19.96305081596883,3.798791152070737,0.1960171297395102,-0.11594114260789903,12.108699889533778,30.03696004677453,-3.7988261739515177,3.3376068516363526,-0.11599255924148803,12.10869536304094
